step,phase,task,accuracy,mse,hidden_cells
1220,1,XOR,1.0,0.19978501792014985,2
1230,1,XOR,1.0,0.15797122081661336,2
1240,1,XOR,1.0,0.12804569340475055,2
1250,1,XOR,1.0,0.10622414179077477,2
1260,1,XOR,1.0,0.08992790043362117,2
1270,1,XOR,1.0,0.07746108273760466,2
1280,1,XOR,1.0,0.06770783052775085,2
1290,1,XOR,1.0,0.059922621020276845,2
1300,1,XOR,1.0,0.05359690487333538,2
1310,1,XOR,1.0,0.04837603348197119,2
1320,1,XOR,1.0,0.0440072923282529,2
1330,1,XOR,1.0,0.04030691369441963,2
1340,1,XOR,1.0,0.03713874047322744,2
1350,1,XOR,1.0,0.034400147204216885,2
1360,1,XOR,1.0,0.03201256365023351,2
1370,1,XOR,1.0,0.02991497361047788,2
1380,1,XOR,1.0,0.028059373969686403,2
1390,1,XOR,1.0,0.026407549198881247,2
1400,1,XOR,1.0,0.024928744156409402,2
1410,1,XOR,1.0,0.023597960485738506,2
1420,1,XOR,1.0,0.02239469262557791,2
1430,1,XOR,1.0,0.02130197821834041,2
1440,1,XOR,1.0,0.020305676404942387,2
1450,1,XOR,1.0,0.019393913380485503,2
1460,1,XOR,1.0,0.018556652157296544,2
1470,1,XOR,1.0,0.017785355576924275,2
1480,1,XOR,1.0,0.01707272004795101,2
1490,1,XOR,1.0,0.016412463442456768,2
1500,1,XOR,1.0,0.01579915483861727,2
1510,1,XOR,1.0,0.01522807686973127,2
1520,1,XOR,1.0,0.014695113682308074,2
1530,1,XOR,1.0,0.01419665915819944,2
1540,1,XOR,1.0,0.013729541284638557,2
1550,1,XOR,1.0,0.01329095947797835,2
1560,1,XOR,1.0,0.012878432364306035,2
1570,1,XOR,1.0,0.012489754051772361,2
1580,1,XOR,1.0,0.012122957337816126,2
1590,1,XOR,1.0,0.011776282610300785,2
1600,1,XOR,1.0,0.01144815144751017,2
1610,1,XOR,1.0,0.011137144114667425,2
1620,1,XOR,1.0,0.010841980306578885,2
1630,1,XOR,1.0,0.010561502606484589,2
1640,1,XOR,1.0,0.010294662227263328,2
1650,1,XOR,1.0,0.010040506678141003,2
1660,1,XOR,1.0,0.009798169062084765,2
1670,1,XOR,1.0,0.009566858759281245,2
1680,1,XOR,1.0,0.00934585329293478,2
1690,1,XOR,1.0,0.00913449120697938,2
1700,1,XOR,1.0,0.00893216581266322,2
1710,1,XOR,1.0,0.008738319683502945,2
1720,1,XOR,1.0,0.008552439796743515,2
1730,1,XOR,1.0,0.00837405323492847,2
1740,1,XOR,1.0,0.00820272337407219,2
1750,1,XOR,1.0,0.008038046495698382,2
1760,1,XOR,1.0,0.007879648769044071,2
1770,1,XOR,1.0,0.007727183557331322,2
1780,1,XOR,1.0,0.007580329008426796,2
1790,1,XOR,1.0,0.007438785895642217,2
1800,1,XOR,1.0,0.007302275679043119,2
1810,1,XOR,1.0,0.007170538761560827,2
1820,1,XOR,1.0,0.007043332917557891,2
1830,1,XOR,1.0,0.00692043187436789,2
1840,1,XOR,1.0,0.006801624029795316,2
1850,1,XOR,1.0,0.006686711290681713,2
1860,1,XOR,1.0,0.006575508019472491,2
1870,1,XOR,1.0,0.006467840077300049,2
1880,1,XOR,1.0,0.006363543953467936,2
1890,1,XOR,1.0,0.006262465972410117,2
1900,2,AND,0.25,2.772439640058325,2
1910,2,AND,0.25,2.5723119027189263,2
1920,2,AND,0.75,1.15575407897789,2
1930,2,AND,0.75,1.0195566177882827,2
1940,2,AND,0.75,1.0043201619329427,2
1950,2,AND,0.75,0.9988153117417095,2
1960,2,AND,0.75,0.9958736563022264,2
1970,2,AND,0.75,0.9939142784383038,2
1980,2,AND,0.75,0.9923971817624156,2
1990,2,AND,0.75,0.9910851277927433,2
2000,2,AND,0.75,0.9898521545673797,2
2010,2,AND,0.75,0.9886184599914334,2
2020,2,AND,0.75,0.9873233226344539,2
2030,2,AND,0.75,0.9859113170303505,2
2040,2,AND,0.75,0.9843231915972614,2
2050,2,AND,0.75,0.9824875249548344,2
2060,2,AND,0.75,0.9803105111547529,2
2070,2,AND,0.75,0.9776608242131754,2
2080,2,AND,0.75,0.9743445208110305,2
2090,2,AND,0.75,0.9700600759925249,2
2100,2,AND,0.75,0.9643121327856513,2
2110,2,AND,0.75,0.9562339567165403,2
2120,2,AND,0.75,0.9441934058993803,2
2130,2,AND,0.75,0.9248561154082744,2
2140,2,AND,0.75,0.8909578899134764,2
2150,2,AND,0.75,0.8281696049134251,2
2160,2,AND,0.75,0.7319203268658294,2
2170,2,AND,0.75,0.653095837282861,2
2180,2,AND,0.75,0.6007687383304765,2
2190,2,AND,0.75,0.5506654432615115,2
2200,2,AND,0.75,0.49156256231041245,2
2210,2,AND,1.0,0.4145448146075349,2
2220,2,AND,1.0,0.3149564249458803,2
2230,2,AND,1.0,0.20692122718895029,2
2240,2,AND,1.0,0.12399769406099519,2
2250,2,AND,1.0,0.07619688052032653,2
2260,2,AND,1.0,0.050603841500987484,2
2270,2,AND,1.0,0.036220530279852364,2
2280,2,AND,1.0,0.02749655000969507,2
2290,2,AND,1.0,0.021820394947348446,2
2300,2,AND,1.0,0.017907657098180513,2
2310,2,AND,1.0,0.015082392164293114,2
2320,2,AND,1.0,0.012964712543469592,2
2330,2,AND,1.0,0.011328424798777159,2
2340,2,AND,1.0,0.010032034705464517,2
2350,2,AND,1.0,0.008983238851047792,2
2360,2,AND,1.0,0.00811963018287642,2
2370,2,AND,1.0,0.007397699418027925,2
2380,2,AND,1.0,0.00678629676155182,2
2390,2,AND,1.0,0.00626259956934802,2
2400,2,AND,1.0,0.005809543797235377,2
2410,2,AND,1.0,0.005414140473483097,2
2420,2,AND,1.0,0.005066343916709326,2
2430,2,AND,1.0,0.004758273462014129,2
2440,2,AND,1.0,0.00448366730484058,2
2450,2,AND,1.0,0.00423749215858088,2
2460,2,AND,1.0,0.004015659614866595,2
2470,2,AND,1.0,0.003814816911998177,2
2480,2,AND,1.0,0.003632190456171094,2
2490,2,AND,1.0,0.0034654673126764454,2
2500,3,XNOR,0.75,1.0032487803163155,2
2510,3,XNOR,0.75,1.003109889514768,2
2520,3,XNOR,0.75,1.0029817819703413,2
2530,3,XNOR,0.75,1.0028632770405848,2
2540,3,XNOR,0.75,1.0027533579568872,2
2550,3,XNOR,0.75,1.0026511446256938,2
2560,3,XNOR,0.75,1.002555871632559,2
2570,3,XNOR,0.75,1.002466870330625,2
2580,3,XNOR,0.75,1.0023835541603558,2
2590,3,XNOR,0.75,1.0023054065441699,2
2600,3,XNOR,0.75,1.0022319708469785,2
2610,3,XNOR,0.75,1.002162842004941,2
2620,3,XNOR,0.75,1.002097659509508,2
2630,3,XNOR,0.75,1.0020361014988517,2
2640,3,XNOR,0.75,1.0019778797590722,2
2650,3,XNOR,0.75,1.001922735476686,2
2660,3,XNOR,0.75,1.001870435614556,2
2670,3,XNOR,0.75,1.0018207698076,2
2680,3,XNOR,0.75,1.001773547693764,3
2690,3,XNOR,0.75,1.0022328015347817,3
2700,3,XNOR,0.75,1.002147856624309,3
2710,3,XNOR,0.75,1.0020696515675935,3
2720,3,XNOR,0.75,1.0019973815482566,3
2730,3,XNOR,0.75,1.0019303649571667,3
2740,3,XNOR,0.75,1.0018680210151965,3
2750,3,XNOR,0.75,1.001809852045498,3
2760,3,XNOR,0.75,1.0017554293108133,3
2770,3,XNOR,0.75,1.0017043816116111,3
2780,3,XNOR,0.75,1.0016563860418015,3
2790,3,XNOR,0.75,1.0016111604447004,3
2800,3,XNOR,0.75,1.0015684572191896,3
2810,3,XNOR,0.75,1.0015280582056794,3
2820,3,XNOR,0.75,1.001489770441319,3
2830,3,XNOR,0.75,1.001453422619204,3
2840,3,XNOR,0.75,1.0014188621209916,3
2850,3,XNOR,0.75,1.0013859525190227,3
2860,3,XNOR,0.75,1.0013545714647976,4
2870,3,XNOR,0.75,1.0013681974391058,4
2880,3,XNOR,0.75,1.0013341886552836,4
2890,3,XNOR,0.75,1.0013019816747752,4
2900,3,XNOR,0.75,1.0012714287486009,4
2910,3,XNOR,0.75,1.0012423980956142,4
2920,3,XNOR,0.75,1.001214771808086,4
2930,3,XNOR,0.75,1.0011884440767387,4
2940,3,XNOR,0.75,1.0011633196799679,4
2950,3,XNOR,0.75,1.0011393126926362,4
2960,3,XNOR,0.75,1.0011163453782324,4
2970,3,XNOR,0.75,1.0010943472348464,4
2980,3,XNOR,0.75,1.0010732541707212,4
2990,3,XNOR,0.75,1.0010530077894038,4
3000,3,XNOR,0.75,1.001033554767962,4
3010,3,XNOR,0.75,1.0010148463145039,4
3020,3,XNOR,0.75,1.0009968376935197,4
3030,3,XNOR,0.75,1.0009794878094114,4
3040,3,XNOR,0.75,1.000962758840113,5
3050,3,XNOR,0.75,1.0008325507161424,5
3060,3,XNOR,0.75,1.0008204164569132,5
3070,3,XNOR,0.75,1.000808630649444,5
3080,3,XNOR,0.75,1.0007971778287152,5
3090,3,XNOR,0.75,1.000786043476086,5
3100,3,XNOR,0.75,1.0007752139454573,5
3110,3,XNOR,0.75,1.0007646763963554,5
3120,3,XNOR,0.75,1.0007544187331816,5
3130,3,XNOR,0.75,1.0007444295499826,5
3140,3,XNOR,0.75,1.0007346980801552,5
3150,3,XNOR,0.75,1.000725214150581,5
3160,3,XNOR,0.75,1.000715968139744,5
3170,3,XNOR,0.75,1.0007069509394206,5
3180,3,XNOR,0.75,1.0006981539195996,5
3190,3,XNOR,0.75,1.0006895688963076,5
3200,3,XNOR,0.75,1.0006811881020679,5
3210,3,XNOR,0.75,1.0006730041587344,5
3220,3,XNOR,0.75,1.0006650100524845,6
3230,3,XNOR,0.75,1.0006295017442741,6
3240,3,XNOR,0.75,1.00062236979263,6
3250,3,XNOR,0.75,1.0006153929994421,6
3260,3,XNOR,0.75,1.0006085662223605,6
3270,3,XNOR,0.75,1.0006018845567874,6
3280,3,XNOR,0.75,1.0005953433211503,6
