id,number,suffix,provenance,file_count,artifact_types
V339,339,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V340,340,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V341,341,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V342,342,,RESULT_ARTIFACT_PRESERVED,4,FIGURE
V342B,342,B,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V343,343,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V344,344,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V345,345,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V346,346,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V347,347,,RESULT_ARTIFACT_PRESERVED,4,ARCHIVE;FIGURE;MARKDOWN
V348,348,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V349,349,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V350,350,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V351,351,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V352,352,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V353,353,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V354,354,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V354B,354,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V355,355,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V356,356,,RESULT_ARTIFACT_PRESERVED,4,ARCHIVE;FIGURE;MARKDOWN
V357,357,,RESULT_ARTIFACT_PRESERVED,5,ARCHIVE;FIGURE;MARKDOWN
V358,358,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V359,359,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V360,360,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V361,361,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V362,362,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V363,363,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V364,364,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V364B,364,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V365,365,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V366,366,,RESULT_ARTIFACT_PRESERVED,4,FIGURE
V366B,366,B,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V367,367,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V368,368,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V369,369,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V370,370,,RESULT_ARTIFACT_PRESERVED,4,ARCHIVE;FIGURE;MARKDOWN
V371,371,,DOCUMENTED_IN_LOG,2,ARCHIVE;MARKDOWN
V372,372,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V373,373,,MISSING_DIRECT_ARTIFACT,0,
V374,374,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V375,375,,MISSING_DIRECT_ARTIFACT,0,
V376,376,,MISSING_DIRECT_ARTIFACT,0,
V377,377,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V378,378,,MISSING_DIRECT_ARTIFACT,0,
V379,379,,MISSING_DIRECT_ARTIFACT,0,
V380,380,,MISSING_DIRECT_ARTIFACT,0,
V381,381,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V382,382,,MISSING_DIRECT_ARTIFACT,0,
V383,383,,MISSING_DIRECT_ARTIFACT,0,
V384,384,,MISSING_DIRECT_ARTIFACT,0,
V385,385,,MISSING_DIRECT_ARTIFACT,0,
V386,386,,MISSING_DIRECT_ARTIFACT,0,
V387,387,,MISSING_DIRECT_ARTIFACT,0,
V388,388,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V389,389,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V390,390,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V391,391,,RESULT_ARTIFACT_PRESERVED,4,FIGURE
V391B,391,B,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V392,392,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V392B,392,B,RESULT_ARTIFACT_PRESERVED,3,ARCHIVE;FIGURE;MARKDOWN
V393,393,,DOCUMENTED_IN_LOG,2,ARCHIVE;MARKDOWN
V394,394,,MISSING_DIRECT_ARTIFACT,0,
V395,395,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V396,396,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V396B,396,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V397,397,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V398,398,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V399,399,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V400,400,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
