id,number,suffix,provenance,file_count,artifact_types
V563,563,,MISSING_DIRECT_ARTIFACT,0,
V564,564,,MISSING_DIRECT_ARTIFACT,0,
V565,565,,MISSING_DIRECT_ARTIFACT,0,
V566,566,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V567,567,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V568,568,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V569,569,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V570,570,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V571,571,,MISSING_DIRECT_ARTIFACT,0,
V572,572,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V573,573,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V574,574,,MISSING_DIRECT_ARTIFACT,0,
V575,575,,MISSING_DIRECT_ARTIFACT,0,
V576,576,,MISSING_DIRECT_ARTIFACT,0,
V577,577,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V578,578,,MISSING_DIRECT_ARTIFACT,0,
V579,579,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V580,580,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V581,581,,MISSING_DIRECT_ARTIFACT,0,
V582,582,,MISSING_DIRECT_ARTIFACT,0,
V583,583,,MISSING_DIRECT_ARTIFACT,0,
V584,584,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V585,585,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V586,586,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V587,587,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V588,588,,RESULT_ARTIFACT_PRESERVED,3,FIGURE;RESULT_JSON
V589,589,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V590,590,,MISSING_DIRECT_ARTIFACT,0,
V591,591,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V592,592,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V593,593,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V594,594,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V595,595,,MISSING_DIRECT_ARTIFACT,0,
V596,596,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V597,597,,MISSING_DIRECT_ARTIFACT,0,
V598,598,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V599,599,,MISSING_DIRECT_ARTIFACT,0,
V600,600,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V601,601,,MISSING_DIRECT_ARTIFACT,0,
V602,602,,MISSING_DIRECT_ARTIFACT,0,
V603,603,,MISSING_DIRECT_ARTIFACT,0,
V604,604,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V605,605,,MISSING_DIRECT_ARTIFACT,0,
V606,606,,MISSING_DIRECT_ARTIFACT,0,
V607,607,,MISSING_DIRECT_ARTIFACT,0,
V608,608,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V609,609,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V610,610,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V611,611,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V612,612,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V613,613,,MISSING_DIRECT_ARTIFACT,0,
V614,614,,MISSING_DIRECT_ARTIFACT,0,
V615,615,,MISSING_DIRECT_ARTIFACT,0,
V616,616,,MISSING_DIRECT_ARTIFACT,0,
V617,617,,MISSING_DIRECT_ARTIFACT,0,
V618,618,,MISSING_DIRECT_ARTIFACT,0,
V619,619,,MISSING_DIRECT_ARTIFACT,0,
V620,620,,MISSING_DIRECT_ARTIFACT,0,
V621,621,,MISSING_DIRECT_ARTIFACT,0,
V622,622,,MISSING_DIRECT_ARTIFACT,0,
V623,623,,MISSING_DIRECT_ARTIFACT,0,
V624,624,,MISSING_DIRECT_ARTIFACT,0,
V625,625,,MISSING_DIRECT_ARTIFACT,0,
V626,626,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V627,627,,MISSING_DIRECT_ARTIFACT,0,
V628,628,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V629,629,,MISSING_DIRECT_ARTIFACT,0,
V630,630,,MISSING_DIRECT_ARTIFACT,0,
V631,631,,MISSING_DIRECT_ARTIFACT,0,
V632,632,,MISSING_DIRECT_ARTIFACT,0,
V633,633,,MISSING_DIRECT_ARTIFACT,0,
V634,634,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V635,635,,MISSING_DIRECT_ARTIFACT,0,
V636,636,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V637,637,,MISSING_DIRECT_ARTIFACT,0,
V638,638,,MISSING_DIRECT_ARTIFACT,0,
V639,639,,MISSING_DIRECT_ARTIFACT,0,
V640,640,,MISSING_DIRECT_ARTIFACT,0,
V641,641,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V642,642,,MISSING_DIRECT_ARTIFACT,0,
V643,643,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V644,644,,MISSING_DIRECT_ARTIFACT,0,
V645,645,,MISSING_DIRECT_ARTIFACT,0,
V646,646,,MISSING_DIRECT_ARTIFACT,0,
V647,647,,MISSING_DIRECT_ARTIFACT,0,
V648,648,,MISSING_DIRECT_ARTIFACT,0,
V649,649,,MISSING_DIRECT_ARTIFACT,0,
V650,650,,MISSING_DIRECT_ARTIFACT,0,
V651,651,,MISSING_DIRECT_ARTIFACT,0,
V652,652,,MISSING_DIRECT_ARTIFACT,0,
V653,653,,MISSING_DIRECT_ARTIFACT,0,
V654,654,,MISSING_DIRECT_ARTIFACT,0,
V655,655,,MISSING_DIRECT_ARTIFACT,0,
V656,656,,MISSING_DIRECT_ARTIFACT,0,
V657,657,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V658,658,,MISSING_DIRECT_ARTIFACT,0,
V659,659,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V660,660,,MISSING_DIRECT_ARTIFACT,0,
V661,661,,MISSING_DIRECT_ARTIFACT,0,
V662,662,,MISSING_DIRECT_ARTIFACT,0,
V663,663,,MISSING_DIRECT_ARTIFACT,0,
V664,664,,MISSING_DIRECT_ARTIFACT,0,
V665,665,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V666,666,,MISSING_DIRECT_ARTIFACT,0,
V667,667,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V668,668,,MISSING_DIRECT_ARTIFACT,0,
V669,669,,MISSING_DIRECT_ARTIFACT,0,
V670,670,,MISSING_DIRECT_ARTIFACT,0,
V671,671,,MISSING_DIRECT_ARTIFACT,0,
V672,672,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V673,673,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V674,674,,MISSING_DIRECT_ARTIFACT,0,
V675,675,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V676,676,,MISSING_DIRECT_ARTIFACT,0,
V677,677,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V678,678,,MISSING_DIRECT_ARTIFACT,0,
V679,679,,MISSING_DIRECT_ARTIFACT,0,
V680,680,,MISSING_DIRECT_ARTIFACT,0,
V681,681,,MISSING_DIRECT_ARTIFACT,0,
V682,682,,MISSING_DIRECT_ARTIFACT,0,
V683,683,,MISSING_DIRECT_ARTIFACT,0,
V684,684,,MISSING_DIRECT_ARTIFACT,0,
V685,685,,MISSING_DIRECT_ARTIFACT,0,
V686,686,,MISSING_DIRECT_ARTIFACT,0,
V687,687,,MISSING_DIRECT_ARTIFACT,0,
V688,688,,MISSING_DIRECT_ARTIFACT,0,
V689,689,,MISSING_DIRECT_ARTIFACT,0,
V690,690,,MISSING_DIRECT_ARTIFACT,0,
V691,691,,MISSING_DIRECT_ARTIFACT,0,
V692,692,,MISSING_DIRECT_ARTIFACT,0,
V693,693,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V694,694,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V695,695,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V696,696,,MISSING_DIRECT_ARTIFACT,0,
V697,697,,MISSING_DIRECT_ARTIFACT,0,
V698,698,,MISSING_DIRECT_ARTIFACT,0,
V699,699,,MISSING_DIRECT_ARTIFACT,0,
V700,700,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V701,701,,MISSING_DIRECT_ARTIFACT,0,
V702,702,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V703,703,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V704,704,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V705,705,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V706,706,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V706B,706,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V707,707,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V708,708,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V709,709,,MISSING_DIRECT_ARTIFACT,0,
V710,710,,MISSING_DIRECT_ARTIFACT,0,
V711,711,,MISSING_DIRECT_ARTIFACT,0,
V712,712,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V713,713,,MISSING_DIRECT_ARTIFACT,0,
V714,714,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V715,715,,MISSING_DIRECT_ARTIFACT,0,
V716,716,,MISSING_DIRECT_ARTIFACT,0,
V717,717,,MISSING_DIRECT_ARTIFACT,0,
V718,718,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V719,719,,MISSING_DIRECT_ARTIFACT,0,
V720,720,,MISSING_DIRECT_ARTIFACT,0,
V720B,720,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V721,721,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V722,722,,MISSING_DIRECT_ARTIFACT,0,
V723,723,,MISSING_DIRECT_ARTIFACT,0,
V724,724,,MISSING_DIRECT_ARTIFACT,0,
V725,725,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V726,726,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V727,727,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V728,728,,MISSING_DIRECT_ARTIFACT,0,
V728B,728,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V729,729,,MISSING_DIRECT_ARTIFACT,0,
V730,730,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V731,731,,MISSING_DIRECT_ARTIFACT,0,
V732,732,,MISSING_DIRECT_ARTIFACT,0,
V732B,732,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V733,733,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V734,734,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V735,735,,MISSING_DIRECT_ARTIFACT,0,
V736,736,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V737,737,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V738,738,,MISSING_DIRECT_ARTIFACT,0,
V738D,738,D,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V739,739,,MISSING_DIRECT_ARTIFACT,0,
V739B,739,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V740,740,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V741,741,,MISSING_DIRECT_ARTIFACT,0,
V741B,741,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V742,742,,MISSING_DIRECT_ARTIFACT,0,
V742B,742,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V743,743,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V744,744,,DOCUMENTED_IN_LOG,2,ARCHIVE;MARKDOWN
V745,745,,MISSING_DIRECT_ARTIFACT,0,
V746,746,,MISSING_DIRECT_ARTIFACT,0,
V747,747,,MISSING_DIRECT_ARTIFACT,0,
V747B,747,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V748,748,,MISSING_DIRECT_ARTIFACT,0,
V749,749,,MISSING_DIRECT_ARTIFACT,0,
V750,750,,MISSING_DIRECT_ARTIFACT,0,
V751,751,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V752,752,,MISSING_DIRECT_ARTIFACT,0,
V753,753,,MISSING_DIRECT_ARTIFACT,0,
V754,754,,MISSING_DIRECT_ARTIFACT,0,
V755,755,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V756,756,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V757,757,,MISSING_DIRECT_ARTIFACT,0,
V758,758,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V759,759,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V760,760,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V761,761,,MISSING_DIRECT_ARTIFACT,0,
V762,762,,MISSING_DIRECT_ARTIFACT,0,
V763,763,,MISSING_DIRECT_ARTIFACT,0,
V764,764,,MISSING_DIRECT_ARTIFACT,0,
V765,765,,MISSING_DIRECT_ARTIFACT,0,
V766,766,,MISSING_DIRECT_ARTIFACT,0,
V767,767,,MISSING_DIRECT_ARTIFACT,0,
V768,768,,MISSING_DIRECT_ARTIFACT,0,
V769,769,,MISSING_DIRECT_ARTIFACT,0,
V769B,769,B,DOCUMENTED_IN_LOG,2,ARCHIVE;MARKDOWN
V770,770,,DOCUMENTED_IN_LOG,2,ARCHIVE;MARKDOWN
V771,771,,MISSING_DIRECT_ARTIFACT,0,
V772,772,,MISSING_DIRECT_ARTIFACT,0,
V773,773,,MISSING_DIRECT_ARTIFACT,0,
V774,774,,MISSING_DIRECT_ARTIFACT,0,
V775,775,,MISSING_DIRECT_ARTIFACT,0,
V776,776,,MISSING_DIRECT_ARTIFACT,0,
V777,777,,MISSING_DIRECT_ARTIFACT,0,
V778,778,,DOCUMENTED_IN_LOG,2,ARCHIVE;MARKDOWN
V779,779,,DOCUMENTED_IN_LOG,2,ARCHIVE;MARKDOWN
V780,780,,MISSING_DIRECT_ARTIFACT,0,
V781,781,,MISSING_DIRECT_ARTIFACT,0,
V782,782,,MISSING_DIRECT_ARTIFACT,0,
V783,783,,MISSING_DIRECT_ARTIFACT,0,
V784,784,,DOCUMENTED_IN_LOG,2,ARCHIVE;MARKDOWN
V785,785,,MISSING_DIRECT_ARTIFACT,0,
V786,786,,MISSING_DIRECT_ARTIFACT,0,
V786B,786,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V787,787,,MISSING_DIRECT_ARTIFACT,0,
V788,788,,MISSING_DIRECT_ARTIFACT,0,
V789,789,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V790,790,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V791,791,,MISSING_DIRECT_ARTIFACT,0,
V792,792,,MISSING_DIRECT_ARTIFACT,0,
V793,793,,MISSING_DIRECT_ARTIFACT,0,
V794,794,,MISSING_DIRECT_ARTIFACT,0,
V795,795,,MISSING_DIRECT_ARTIFACT,0,
V796,796,,MISSING_DIRECT_ARTIFACT,0,
V797,797,,MISSING_DIRECT_ARTIFACT,0,
V798,798,,MISSING_DIRECT_ARTIFACT,0,
V799,799,,MISSING_DIRECT_ARTIFACT,0,
V800,800,,MISSING_DIRECT_ARTIFACT,0,
V801,801,,DOCUMENTED_IN_LOG,2,ARCHIVE;MARKDOWN
V802,802,,MISSING_DIRECT_ARTIFACT,0,
V803,803,,MISSING_DIRECT_ARTIFACT,0,
V804,804,,MISSING_DIRECT_ARTIFACT,0,
V805,805,,MISSING_DIRECT_ARTIFACT,0,
V806,806,,MISSING_DIRECT_ARTIFACT,0,
V807,807,,MISSING_DIRECT_ARTIFACT,0,
V808,808,,MISSING_DIRECT_ARTIFACT,0,
V809,809,,MISSING_DIRECT_ARTIFACT,0,
V810,810,,MISSING_DIRECT_ARTIFACT,0,
V811,811,,MISSING_DIRECT_ARTIFACT,0,
V812,812,,MISSING_DIRECT_ARTIFACT,0,
V812B,812,B,DOCUMENTED_IN_LOG,2,ARCHIVE;MARKDOWN
V813,813,,RESULT_ARTIFACT_PRESERVED,3,ARCHIVE;MARKDOWN;RESULT_JSON
V814,814,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V815,815,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V816,816,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V817,817,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V817B,817,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V818,818,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V819,819,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V820,820,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V820B,820,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V821,821,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V821B,821,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V822,822,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V823,823,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V823C,823,C,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V824,824,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V824B,824,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V825,825,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V826,826,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V826B,826,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V827,827,,RESULT_ARTIFACT_PRESERVED,3,ARCHIVE;MARKDOWN;RESULT_JSON
V828,828,,RESULT_ARTIFACT_PRESERVED,3,ARCHIVE;MARKDOWN;RESULT_JSON
V828B,828,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V828C,828,C,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V829,829,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V829B,829,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V830,830,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V830B,830,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V831,831,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V832,832,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V833,833,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V833B,833,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V834,834,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V834B,834,B,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V835,835,,RESULT_ARTIFACT_PRESERVED,1,RESULT_JSON
V836,836,,RESULT_ARTIFACT_PRESERVED,3,ARCHIVE;MARKDOWN;RESULT_JSON
